prob,percolation state
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.5,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.51,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.52,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.53999996,0
0.54999995,0
0.54999995,0
0.54999995,0
0.54999995,0
0.54999995,0
0.54999995,0
0.54999995,1
0.54999995,0
0.54999995,1
0.54999995,0
0.55999994,0
0.55999994,0
0.55999994,0
0.55999994,0
0.55999994,0
0.55999994,0
0.55999994,1
0.55999994,1
0.55999994,0
0.55999994,0
0.56999993,0
0.56999993,0
0.56999993,1
0.56999993,1
0.56999993,0
0.56999993,0
0.56999993,0
0.56999993,1
0.56999993,0
0.56999993,0
0.5799999,1
0.5799999,0
0.5799999,0
0.5799999,0
0.5799999,0
0.5799999,0
0.5799999,1
0.5799999,1
0.5799999,1
0.5799999,1
0.5899999,0
0.5899999,1
0.5899999,0
0.5899999,0
0.5899999,1
0.5899999,0
0.5899999,0
0.5899999,1
0.5899999,1
0.5899999,0
0.5999999,1
0.5999999,1
0.5999999,1
0.5999999,0
0.5999999,0
0.5999999,1
0.5999999,0
0.5999999,1
0.5999999,1
0.5999999,1
0.6099999,0
0.6099999,0
0.6099999,1
0.6099999,1
0.6099999,1
0.6099999,1
0.6099999,0
0.6099999,1
0.6099999,1
0.6099999,1
0.6199999,1
0.6199999,1
0.6199999,1
0.6199999,0
0.6199999,0
0.6199999,1
0.6199999,1
0.6199999,1
0.6199999,1
0.6199999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
0.6299999,1
